Firm_ID,Year,Industry_Type,E_Score,S_Score,G_Score,Board_Independence,financial_risk_score
MFG0367,2019,Heavy Machinery,65.82,65.03,62.59,85.31,0
MFG0053,2022,Pharmaceuticals,90.25,77.38,65.02,51.14,0
MFG0280,2020,Pharmaceuticals,83.87,65.77,58.12,68.3,33
MFG0410,2021,Automobile,63.5,73.86,55.72,66.85,33
MFG0217,2022,Automobile,65.64,69.53,66.58,74.95,0
MFG0252,2022,Textile,95.49,68.55,66.63,67.64,0
MFG0188,2022,Textile,60.78,82.29,62.3,73.56,0
MFG0380,2023,Textile,64.13,59.29,55.0,84.47,66
MFG0493,2022,Textile,67.27,58.63,68.66,55.68,33
MFG0041,2019,Heavy Machinery,57.06,59.82,62.11,59.77,66
MFG0157,2022,Heavy Machinery,66.09,71.11,59.01,82.11,33
MFG0015,2023,Automobile,66.25,68.48,75.21,59.12,0
MFG0301,2022,Pharmaceuticals,62.08,74.39,57.2,86.23,33
MFG0065,2021,Pharmaceuticals,86.61,67.32,69.5,71.63,0
MFG0345,2021,Electronics,59.16,66.24,53.0,53.27,66
MFG0327,2023,Heavy Machinery,70.44,70.96,53.51,50.83,33
MFG0009,2019,Textile,62.35,83.27,68.86,80.52,0
MFG0344,2019,Textile,69.69,57.54,62.31,84.25,33
MFG0129,2020,Electronics,61.84,59.72,55.65,59.59,66
MFG0492,2023,Pharmaceuticals,72.83,68.37,72.6,59.63,0
MFG0136,2022,Textile,75.54,86.29,67.97,88.16,0
MFG0472,2023,Pharmaceuticals,87.42,58.36,47.98,76.25,66
MFG0063,2020,Electronics,65.53,67.91,72.68,56.7,0
MFG0139,2023,Pharmaceuticals,89.8,60.1,56.49,67.94,33
MFG0499,2023,Pharmaceuticals,63.12,71.58,51.34,86.42,33
MFG0081,2020,Pharmaceuticals,69.38,49.42,58.44,74.85,66
MFG0392,2019,Textile,91.41,58.67,64.67,66.3,33
MFG0163,2022,Automobile,103.93,79.51,65.62,56.04,0
MFG0419,2020,Heavy Machinery,90.55,68.08,51.92,79.04,33
MFG0289,2021,Pharmaceuticals,69.54,61.29,53.7,61.05,33
MFG0379,2019,Pharmaceuticals,77.66,67.59,58.91,72.64,33
MFG0261,2021,Pharmaceuticals,79.51,67.43,59.42,74.01,33
MFG0490,2019,Automobile,75.8,73.05,71.09,72.22,0
MFG0231,2022,Electronics,60.91,49.32,61.69,59.86,33
MFG0041,2022,Textile,74.58,58.67,70.94,78.33,33
MFG0028,2023,Automobile,66.44,59.41,73.77,72.64,33
MFG0135,2021,Pharmaceuticals,61.35,73.66,69.45,66.15,0
MFG0201,2019,Automobile,68.57,67.94,40.41,52.09,33
MFG0328,2022,Automobile,75.47,80.97,62.57,63.25,0
MFG0268,2020,Automobile,83.02,75.46,63.67,64.1,0
MFG0418,2022,Electronics,69.21,64.89,64.56,81.65,0
MFG0033,2020,Heavy Machinery,71.14,67.55,48.34,70.54,33
MFG0048,2019,Textile,80.84,79.64,58.89,87.28,33
MFG0407,2022,Electronics,72.78,80.9,54.1,80.03,33
MFG0062,2022,Electronics,76.2,67.14,57.59,71.52,33
MFG0216,2019,Heavy Machinery,72.86,59.13,62.93,56.76,33
MFG0293,2022,Electronics,74.23,49.09,59.07,58.84,66
MFG0099,2020,Automobile,60.13,49.09,58.18,56.4,66
MFG0172,2022,Automobile,73.35,72.25,63.42,67.71,0
MFG0360,2021,Pharmaceuticals,87.71,72.07,61.06,78.9,0
MFG0214,2023,Electronics,73.86,61.92,66.6,80.37,0
MFG0475,2020,Pharmaceuticals,62.83,79.71,61.64,53.85,0
MFG0035,2021,Textile,88.24,66.14,52.46,69.84,33
MFG0449,2019,Automobile,79.94,62.7,56.75,69.26,33
MFG0227,2020,Textile,80.44,78.54,62.38,67.56,0
MFG0101,2023,Heavy Machinery,80.15,77.35,61.42,62.05,0
MFG0431,2023,Automobile,59.61,67.54,53.69,69.03,66
MFG0462,2019,Textile,79.13,72.66,70.41,70.66,0
MFG0131,2019,Heavy Machinery,87.23,73.79,67.5,73.99,0
MFG0257,2020,Textile,66.72,87.58,60.19,65.09,0
MFG0005,2022,Heavy Machinery,50.79,66.82,63.69,87.8,33
MFG0218,2019,Heavy Machinery,76.02,57.38,56.43,63.55,66
MFG0255,2022,Automobile,72.36,73.63,71.82,85.8,0
MFG0398,2021,Pharmaceuticals,54.98,68.56,81.55,82.05,33
MFG0359,2023,Heavy Machinery,78.66,69.01,59.84,68.61,33
MFG0283,2022,Heavy Machinery,77.83,67.72,74.79,69.85,0
MFG0393,2023,Automobile,55.87,53.68,58.11,84.79,99
MFG0207,2022,Pharmaceuticals,92.78,70.35,60.74,69.71,0
MFG0015,2021,Electronics,80.26,64.77,76.47,77.18,0
MFG0346,2019,Electronics,51.21,65.22,64.04,82.37,33
MFG0042,2021,Pharmaceuticals,81.01,64.42,70.5,86.32,0
MFG0380,2019,Textile,80.69,67.65,62.84,58.73,0
MFG0461,2019,Automobile,87.57,70.34,50.58,89.01,33
MFG0179,2023,Pharmaceuticals,65.14,67.74,83.7,88.61,0
MFG0063,2021,Electronics,81.17,78.39,63.27,61.89,0
MFG0352,2022,Heavy Machinery,69.4,74.81,66.25,74.55,0
MFG0231,2021,Electronics,65.88,67.34,59.14,51.88,33
MFG0241,2023,Heavy Machinery,62.48,58.68,71.24,56.71,33
MFG0052,2019,Automobile,51.07,73.22,70.65,73.35,33
MFG0096,2023,Heavy Machinery,77.94,65.17,52.54,76.0,33
MFG0388,2020,Pharmaceuticals,69.0,66.46,66.37,71.38,0
MFG0222,2020,Heavy Machinery,41.97,56.13,72.02,78.19,66
MFG0485,2022,Textile,72.83,71.72,74.6,81.72,0
MFG0407,2023,Pharmaceuticals,84.74,91.34,70.17,56.74,0
MFG0231,2022,Automobile,57.62,63.44,70.87,76.38,33
MFG0237,2022,Pharmaceuticals,64.16,73.6,60.68,72.5,0
MFG0143,2020,Textile,76.85,79.21,55.17,54.7,33
MFG0171,2022,Automobile,43.85,63.29,62.51,59.14,33
MFG0029,2020,Electronics,66.13,46.17,54.99,66.79,66
MFG0036,2019,Textile,75.81,74.26,59.09,84.55,33
MFG0013,2023,Automobile,65.83,68.71,58.97,58.68,33
MFG0160,2022,Heavy Machinery,57.72,70.8,57.47,57.32,66
MFG0327,2020,Pharmaceuticals,58.25,68.49,69.26,78.84,33
MFG0187,2021,Automobile,54.27,78.44,56.9,89.03,66
MFG0243,2022,Pharmaceuticals,65.04,67.12,79.68,67.89,0
MFG0086,2019,Heavy Machinery,83.62,87.54,72.91,64.01,0
MFG0284,2019,Automobile,97.98,74.28,74.52,60.16,0
MFG0066,2021,Electronics,72.4,77.1,59.49,51.99,33
MFG0170,2020,Textile,80.45,68.06,66.6,57.14,0
MFG0045,2022,Automobile,61.65,70.8,56.66,53.74,33
MFG0062,2020,Heavy Machinery,48.99,52.79,66.74,69.76,66
MFG0441,2019,Automobile,92.37,62.81,50.86,89.13,33
MFG0134,2020,Pharmaceuticals,65.45,77.7,73.5,81.5,0
MFG0284,2019,Automobile,79.91,67.4,59.84,74.07,33
MFG0028,2020,Electronics,73.74,57.88,67.42,69.47,33
MFG0108,2021,Automobile,82.94,61.84,68.91,74.69,0
MFG0044,2023,Textile,82.5,61.77,60.57,65.04,0
MFG0340,2021,Automobile,75.05,67.65,58.61,57.14,33
MFG0286,2021,Pharmaceuticals,76.27,60.49,64.04,73.59,0
MFG0446,2023,Automobile,85.34,80.81,71.42,71.12,0
MFG0331,2023,Electronics,67.49,69.87,63.82,87.78,0
MFG0128,2022,Heavy Machinery,89.11,55.44,69.82,75.99,33
MFG0348,2022,Automobile,64.21,81.83,71.35,80.94,0
MFG0473,2021,Automobile,72.84,67.59,63.46,53.71,0
MFG0231,2021,Textile,78.92,72.55,64.1,80.44,0
MFG0190,2019,Electronics,54.08,70.76,66.11,89.31,33
MFG0225,2019,Heavy Machinery,87.2,71.76,74.14,76.3,0
MFG0385,2022,Pharmaceuticals,77.23,64.91,62.25,79.68,0
MFG0377,2022,Automobile,108.31,70.98,74.1,89.18,0
MFG0283,2019,Heavy Machinery,94.89,66.66,67.04,65.65,0
MFG0446,2019,Pharmaceuticals,71.88,71.26,59.11,82.97,33
MFG0121,2020,Electronics,91.64,66.33,64.66,65.99,0
MFG0116,2020,Electronics,81.32,65.39,56.03,67.04,33
MFG0461,2019,Heavy Machinery,74.54,54.84,54.23,76.33,66
MFG0233,2020,Pharmaceuticals,53.75,67.95,69.85,60.26,33
MFG0259,2023,Electronics,56.34,70.02,71.38,89.71,33
MFG0359,2022,Heavy Machinery,72.05,84.64,64.74,63.17,0
MFG0198,2022,Electronics,66.55,72.31,65.38,54.91,0
MFG0456,2019,Electronics,74.48,61.48,60.39,62.9,0
MFG0411,2021,Electronics,87.1,58.87,66.36,84.24,33
MFG0137,2019,Textile,81.51,70.41,80.85,62.56,0
MFG0318,2020,Pharmaceuticals,64.34,61.3,73.08,74.45,0
MFG0165,2021,Heavy Machinery,82.17,62.88,64.39,87.41,0
MFG0225,2020,Heavy Machinery,61.95,61.27,63.69,60.4,0
MFG0307,2023,Pharmaceuticals,59.44,65.04,61.99,55.25,33
MFG0234,2020,Pharmaceuticals,76.2,74.63,53.71,53.87,33
MFG0172,2023,Pharmaceuticals,63.04,50.09,61.14,67.61,33
MFG0152,2023,Pharmaceuticals,64.94,79.65,70.39,54.17,0
MFG0463,2020,Automobile,82.93,66.16,57.54,68.15,33
MFG0315,2020,Heavy Machinery,79.23,62.29,62.76,84.51,0
MFG0374,2023,Automobile,67.91,75.99,56.05,81.1,33
MFG0160,2021,Electronics,54.12,66.14,71.28,73.27,33
MFG0096,2023,Electronics,63.91,58.58,54.81,84.02,66
MFG0472,2022,Heavy Machinery,93.36,54.3,69.74,54.01,33
MFG0233,2023,Electronics,82.63,74.26,73.23,74.38,0
MFG0180,2021,Pharmaceuticals,87.66,74.84,62.41,54.63,0
MFG0113,2022,Automobile,74.82,64.28,59.5,69.29,33
MFG0318,2019,Pharmaceuticals,68.14,79.89,68.8,68.54,0
MFG0497,2019,Electronics,81.96,68.32,77.82,60.61,0
MFG0442,2021,Automobile,86.1,79.95,75.73,83.19,0
MFG0052,2023,Pharmaceuticals,66.72,59.38,64.41,59.13,33
MFG0268,2020,Heavy Machinery,64.15,58.28,57.93,72.08,66
MFG0295,2021,Pharmaceuticals,55.27,63.38,63.14,69.29,33
MFG0386,2022,Electronics,63.88,64.4,51.48,67.27,33
MFG0387,2022,Automobile,79.36,78.36,60.55,51.34,0
MFG0113,2019,Heavy Machinery,65.44,70.64,68.6,77.87,0
MFG0101,2022,Automobile,82.25,61.17,62.06,50.51,0
MFG0113,2021,Heavy Machinery,93.64,68.1,60.2,82.82,0
MFG0440,2022,Automobile,72.27,64.15,64.56,60.66,0
MFG0081,2021,Electronics,71.82,60.77,62.85,54.8,0
MFG0187,2020,Heavy Machinery,78.03,67.28,71.04,66.68,0
MFG0113,2019,Textile,65.68,66.28,54.39,72.37,33
MFG0002,2022,Automobile,64.88,61.11,69.21,62.41,0
MFG0130,2021,Automobile,65.21,61.01,64.63,54.87,0
MFG0220,2023,Pharmaceuticals,59.4,75.33,68.47,50.73,33
MFG0054,2019,Heavy Machinery,81.9,71.81,53.89,78.15,33
MFG0343,2020,Textile,66.54,76.49,72.06,85.46,0
MFG0485,2021,Electronics,84.23,65.45,69.34,54.02,0
MFG0224,2020,Pharmaceuticals,77.82,58.21,78.39,59.23,33
MFG0225,2020,Textile,71.75,62.83,58.34,50.81,33
MFG0385,2022,Heavy Machinery,80.91,77.25,60.32,85.4,0
MFG0403,2022,Textile,61.62,53.6,50.73,67.79,66
MFG0126,2021,Automobile,63.42,81.0,58.41,87.01,33
MFG0130,2023,Automobile,79.85,58.01,76.47,68.72,33
MFG0053,2021,Pharmaceuticals,47.85,75.02,67.36,84.49,33
MFG0172,2023,Heavy Machinery,72.16,58.82,59.19,88.07,66
MFG0218,2020,Heavy Machinery,78.5,62.64,66.06,63.41,0
MFG0160,2019,Textile,86.42,49.48,64.51,75.63,33
MFG0198,2021,Pharmaceuticals,88.67,84.68,49.73,76.66,33
MFG0416,2021,Heavy Machinery,70.57,73.17,51.17,50.86,33
MFG0247,2023,Automobile,80.47,73.7,73.85,67.53,0
MFG0324,2020,Textile,63.15,63.56,70.89,84.21,0
MFG0439,2020,Electronics,67.12,59.62,53.12,87.85,66
MFG0203,2023,Automobile,87.04,74.99,63.99,85.97,0
MFG0184,2020,Pharmaceuticals,71.56,57.17,59.27,88.92,66
MFG0123,2022,Heavy Machinery,73.76,66.5,73.71,76.12,0
MFG0401,2019,Automobile,60.64,56.74,68.58,59.31,33
MFG0255,2021,Electronics,76.65,69.12,56.16,73.02,33
MFG0294,2019,Electronics,80.29,50.75,65.96,66.85,33
MFG0280,2021,Pharmaceuticals,79.95,54.67,64.67,60.35,33
MFG0325,2022,Automobile,58.68,60.26,64.69,80.91,33
MFG0372,2020,Textile,83.0,73.53,60.92,75.17,0
MFG0098,2023,Automobile,61.02,63.22,65.2,81.6,0
MFG0198,2022,Electronics,71.71,76.85,58.19,60.78,33
MFG0470,2019,Pharmaceuticals,54.2,81.51,55.5,86.16,66
MFG0395,2023,Pharmaceuticals,70.03,65.22,55.03,59.55,33
MFG0240,2020,Textile,60.96,54.69,56.61,74.08,66
MFG0144,2022,Pharmaceuticals,67.06,76.69,68.38,52.28,0
MFG0097,2023,Pharmaceuticals,72.66,54.13,68.6,71.64,33
MFG0201,2022,Pharmaceuticals,81.1,59.87,76.68,53.95,33
MFG0124,2022,Pharmaceuticals,80.72,52.69,63.17,63.29,33
MFG0187,2020,Pharmaceuticals,46.29,76.67,70.61,84.43,33
MFG0326,2021,Electronics,79.46,73.15,65.38,85.74,0
MFG0464,2023,Automobile,74.27,82.56,67.4,80.69,0
MFG0349,2020,Heavy Machinery,65.84,64.03,71.47,64.71,0
MFG0259,2022,Pharmaceuticals,62.32,60.58,69.66,73.15,0
MFG0148,2020,Heavy Machinery,71.31,63.28,65.87,58.96,0
MFG0252,2021,Heavy Machinery,74.54,56.01,60.09,77.13,33
MFG0443,2023,Electronics,76.16,80.86,67.21,63.9,0
MFG0420,2021,Pharmaceuticals,69.83,98.39,75.91,58.84,0
MFG0403,2019,Heavy Machinery,44.23,61.49,66.4,73.4,33
MFG0346,2023,Pharmaceuticals,66.55,73.33,61.84,54.47,0
MFG0451,2021,Textile,58.98,66.6,71.57,77.47,33
MFG0147,2022,Textile,94.61,71.98,53.92,57.48,33
MFG0148,2023,Textile,72.65,77.54,62.12,72.14,0
MFG0352,2023,Heavy Machinery,80.15,57.71,57.15,65.7,66
MFG0199,2020,Textile,78.99,63.69,64.03,72.65,0
MFG0308,2022,Electronics,75.41,78.83,74.97,59.84,0
MFG0489,2019,Electronics,67.42,72.58,70.13,62.42,0
MFG0417,2021,Heavy Machinery,66.02,70.95,50.06,55.61,33
MFG0424,2020,Pharmaceuticals,49.77,72.59,60.05,81.08,33
MFG0128,2021,Automobile,73.56,73.47,53.01,52.8,33
MFG0039,2019,Pharmaceuticals,75.3,78.42,73.47,65.06,0
MFG0338,2019,Pharmaceuticals,71.47,74.78,60.34,67.96,0
MFG0360,2023,Pharmaceuticals,73.58,67.54,65.61,57.81,0
MFG0129,2019,Pharmaceuticals,58.73,71.18,65.99,65.39,33
MFG0267,2021,Automobile,68.77,67.39,66.65,66.72,0
MFG0476,2022,Textile,64.85,61.28,41.86,58.97,33
MFG0441,2022,Pharmaceuticals,79.32,67.54,67.89,75.57,0
MFG0473,2023,Electronics,72.45,66.98,60.61,51.23,0
MFG0434,2021,Heavy Machinery,64.96,52.72,71.77,57.9,33
MFG0151,2021,Heavy Machinery,70.24,74.97,66.62,74.96,0
MFG0415,2019,Electronics,60.57,76.5,70.05,75.1,0
MFG0478,2021,Pharmaceuticals,68.39,72.89,59.17,60.61,33
MFG0298,2020,Automobile,78.41,75.96,55.97,77.32,33
MFG0099,2019,Textile,57.34,66.42,72.12,68.79,33
MFG0263,2020,Heavy Machinery,71.33,63.37,69.51,71.09,0
MFG0252,2023,Textile,63.75,76.54,66.78,63.3,0
MFG0144,2022,Automobile,57.35,58.47,66.77,89.37,66
MFG0346,2023,Heavy Machinery,92.52,58.16,68.37,79.5,33
MFG0112,2022,Textile,85.79,72.03,54.66,59.94,33
MFG0060,2023,Automobile,65.42,71.79,73.6,59.46,0
MFG0369,2021,Textile,68.81,76.37,63.77,80.97,0
MFG0002,2020,Pharmaceuticals,49.76,52.61,64.0,65.52,66
MFG0385,2022,Automobile,54.48,67.12,61.66,53.66,33
MFG0304,2019,Textile,59.59,57.83,45.24,51.42,99
MFG0254,2020,Pharmaceuticals,71.63,75.7,69.6,66.56,0
MFG0140,2019,Pharmaceuticals,70.74,80.0,57.01,66.59,33
MFG0453,2020,Automobile,75.65,72.54,65.86,78.27,0
MFG0037,2020,Electronics,79.46,62.98,58.44,72.99,33
MFG0160,2023,Heavy Machinery,75.06,61.26,62.25,80.8,0
MFG0009,2022,Automobile,60.1,64.29,61.81,62.71,0
MFG0233,2022,Pharmaceuticals,75.56,60.43,58.25,74.97,33
MFG0099,2020,Pharmaceuticals,78.99,66.57,63.19,85.43,0
MFG0147,2021,Automobile,67.3,61.24,61.15,52.77,0
MFG0304,2021,Electronics,51.69,55.57,56.68,78.34,99
MFG0208,2019,Heavy Machinery,85.02,71.43,74.38,78.64,0
MFG0131,2019,Textile,72.97,72.12,58.59,81.76,33
MFG0404,2023,Automobile,41.5,83.29,69.5,60.76,33
MFG0152,2020,Heavy Machinery,94.77,64.1,70.35,66.66,0
MFG0054,2019,Heavy Machinery,66.73,50.99,72.39,59.59,33
MFG0120,2019,Pharmaceuticals,98.83,75.34,60.64,62.34,0
MFG0161,2020,Textile,76.15,76.35,63.41,88.74,0
MFG0408,2023,Automobile,69.77,78.28,63.66,67.83,0
MFG0116,2019,Pharmaceuticals,74.02,81.24,69.22,83.94,0
MFG0075,2023,Pharmaceuticals,64.2,81.37,63.06,81.8,0
MFG0113,2022,Electronics,72.67,59.21,68.67,67.78,33
MFG0456,2023,Heavy Machinery,94.12,81.93,62.95,89.69,0
MFG0420,2021,Automobile,62.12,65.05,73.94,83.63,0
MFG0422,2021,Automobile,77.87,75.19,64.91,69.31,0
MFG0104,2023,Automobile,64.08,70.34,63.94,62.39,0
MFG0340,2021,Pharmaceuticals,70.15,59.25,67.72,53.01,33
MFG0254,2022,Electronics,93.74,78.44,78.08,68.59,0
MFG0227,2020,Textile,77.79,63.9,60.16,64.4,0
MFG0112,2021,Pharmaceuticals,80.2,84.73,73.32,78.46,0
MFG0473,2021,Textile,72.78,61.13,58.46,50.79,33
MFG0099,2023,Electronics,101.65,58.96,65.35,83.26,33
MFG0153,2022,Heavy Machinery,61.55,62.03,58.64,66.67,33
MFG0349,2020,Automobile,54.63,81.46,62.03,68.79,33
MFG0402,2023,Textile,90.55,53.9,59.57,57.31,66
MFG0384,2023,Pharmaceuticals,67.8,76.22,70.59,87.5,0
MFG0366,2022,Textile,76.51,84.49,61.02,65.94,0
MFG0338,2020,Heavy Machinery,90.88,66.48,69.24,83.71,0
MFG0194,2022,Automobile,76.66,64.46,60.79,59.5,0
MFG0310,2020,Textile,96.54,68.72,64.96,53.87,0
MFG0163,2022,Heavy Machinery,73.5,57.9,76.66,75.43,33
MFG0208,2023,Pharmaceuticals,64.21,91.83,59.04,89.38,33
MFG0445,2023,Electronics,46.11,74.03,59.19,75.88,66
MFG0169,2019,Pharmaceuticals,75.31,57.02,63.03,74.35,33
MFG0484,2021,Automobile,47.4,60.74,64.86,67.69,33
MFG0161,2022,Pharmaceuticals,75.57,69.61,69.97,61.35,0
MFG0068,2019,Pharmaceuticals,88.05,56.35,65.34,67.23,33
MFG0289,2021,Pharmaceuticals,71.81,54.46,66.96,55.96,33
MFG0398,2022,Pharmaceuticals,74.09,70.64,55.77,60.48,33
