Firm_ID,Year,Overall_Compliance,final_esg_risk_score,alert_level
MFG0044,2022,Non-Compliant,66,Critical
MFG0162,2019,Non-Compliant,33,Warning
MFG0202,2022,Non-Compliant,33,Warning
MFG0446,2019,Compliant,0,Low
MFG0484,2023,Non-Compliant,33,Warning
MFG0270,2020,Non-Compliant,33,Warning
MFG0351,2023,Compliant,0,Low
MFG0304,2023,Compliant,0,Low
MFG0271,2022,Non-Compliant,33,Warning
MFG0456,2020,Compliant,0,Low
MFG0462,2019,Non-Compliant,33,Warning
MFG0215,2019,Non-Compliant,33,Warning
MFG0252,2021,Non-Compliant,66,Critical
MFG0190,2019,Compliant,0,Low
MFG0296,2022,Compliant,0,Low
MFG0213,2023,Compliant,0,Low
MFG0208,2023,Non-Compliant,33,Warning
MFG0237,2023,Compliant,0,Low
MFG0338,2020,Non-Compliant,66,Critical
MFG0367,2019,Compliant,0,Low
MFG0053,2022,Compliant,0,Low
MFG0280,2020,Non-Compliant,33,Warning
MFG0410,2021,Non-Compliant,33,Warning
MFG0217,2022,Compliant,0,Low
MFG0252,2022,Compliant,0,Low
MFG0188,2022,Compliant,0,Low
MFG0380,2023,Non-Compliant,66,Critical
MFG0493,2022,Non-Compliant,33,Warning
MFG0041,2019,Non-Compliant,66,Critical
MFG0157,2022,Non-Compliant,33,Warning
MFG0015,2023,Compliant,0,Low
MFG0301,2022,Non-Compliant,33,Warning
MFG0065,2021,Compliant,0,Low
MFG0345,2021,Non-Compliant,66,Critical
MFG0327,2023,Non-Compliant,33,Warning
MFG0009,2019,Compliant,0,Low
MFG0344,2019,Non-Compliant,33,Warning
MFG0129,2020,Non-Compliant,66,Critical
MFG0492,2023,Compliant,0,Low
MFG0136,2022,Compliant,0,Low
MFG0472,2023,Non-Compliant,66,Critical
MFG0063,2020,Compliant,0,Low
MFG0139,2023,Non-Compliant,33,Warning
MFG0499,2023,Non-Compliant,33,Warning
MFG0081,2020,Non-Compliant,66,Critical
MFG0392,2019,Non-Compliant,33,Warning
MFG0163,2022,Compliant,0,Low
MFG0419,2020,Non-Compliant,33,Warning
MFG0289,2021,Non-Compliant,33,Warning
MFG0379,2019,Non-Compliant,33,Warning
MFG0261,2021,Non-Compliant,33,Warning
MFG0490,2019,Compliant,0,Low
MFG0231,2022,Non-Compliant,33,Warning
MFG0041,2022,Non-Compliant,33,Warning
MFG0028,2023,Non-Compliant,33,Warning
MFG0135,2021,Compliant,0,Low
MFG0201,2019,Non-Compliant,33,Warning
MFG0328,2022,Compliant,0,Low
MFG0268,2020,Compliant,0,Low
MFG0418,2022,Compliant,0,Low
MFG0033,2020,Non-Compliant,33,Warning
MFG0048,2019,Non-Compliant,33,Warning
MFG0407,2022,Non-Compliant,33,Warning
MFG0062,2022,Non-Compliant,33,Warning
MFG0216,2019,Non-Compliant,33,Warning
MFG0293,2022,Non-Compliant,66,Critical
MFG0099,2020,Non-Compliant,66,Critical
MFG0172,2022,Compliant,0,Low
MFG0360,2021,Compliant,0,Low
MFG0214,2023,Compliant,0,Low
MFG0475,2020,Compliant,0,Low
MFG0035,2021,Non-Compliant,33,Warning
MFG0449,2019,Non-Compliant,33,Warning
MFG0227,2020,Compliant,0,Low
MFG0101,2023,Compliant,0,Low
MFG0431,2023,Non-Compliant,66,Critical
MFG0462,2019,Compliant,0,Low
MFG0131,2019,Compliant,0,Low
MFG0257,2020,Compliant,0,Low
MFG0005,2022,Non-Compliant,33,Warning
MFG0218,2019,Non-Compliant,66,Critical
MFG0255,2022,Compliant,0,Low
MFG0398,2021,Non-Compliant,33,Warning
MFG0359,2023,Non-Compliant,33,Warning
MFG0283,2022,Compliant,0,Low
MFG0393,2023,Non-Compliant,99,Critical
MFG0207,2022,Compliant,0,Low
MFG0015,2021,Compliant,0,Low
MFG0346,2019,Non-Compliant,33,Warning
MFG0042,2021,Compliant,0,Low
MFG0380,2019,Compliant,0,Low
MFG0461,2019,Non-Compliant,33,Warning
MFG0179,2023,Compliant,0,Low
MFG0063,2021,Compliant,0,Low
MFG0352,2022,Compliant,0,Low
MFG0231,2021,Non-Compliant,33,Warning
MFG0241,2023,Non-Compliant,33,Warning
MFG0052,2019,Non-Compliant,33,Warning
MFG0096,2023,Non-Compliant,33,Warning
MFG0388,2020,Compliant,0,Low
MFG0222,2020,Non-Compliant,66,Critical
MFG0485,2022,Compliant,0,Low
MFG0407,2023,Compliant,0,Low
MFG0231,2022,Non-Compliant,33,Warning
MFG0237,2022,Compliant,0,Low
MFG0143,2020,Non-Compliant,33,Warning
MFG0171,2022,Non-Compliant,33,Warning
MFG0029,2020,Non-Compliant,66,Critical
MFG0036,2019,Non-Compliant,33,Warning
MFG0013,2023,Non-Compliant,33,Warning
MFG0160,2022,Non-Compliant,66,Critical
MFG0327,2020,Non-Compliant,33,Warning
MFG0187,2021,Non-Compliant,66,Critical
MFG0243,2022,Compliant,0,Low
MFG0086,2019,Compliant,0,Low
MFG0284,2019,Compliant,0,Low
MFG0066,2021,Non-Compliant,33,Warning
MFG0170,2020,Compliant,0,Low
MFG0045,2022,Non-Compliant,33,Warning
MFG0062,2020,Non-Compliant,66,Critical
MFG0441,2019,Non-Compliant,33,Warning
MFG0134,2020,Compliant,0,Low
MFG0284,2019,Non-Compliant,33,Warning
MFG0028,2020,Non-Compliant,33,Warning
MFG0108,2021,Compliant,0,Low
MFG0044,2023,Compliant,0,Low
MFG0340,2021,Non-Compliant,33,Warning
MFG0286,2021,Compliant,0,Low
MFG0446,2023,Compliant,0,Low
MFG0331,2023,Compliant,0,Low
MFG0128,2022,Non-Compliant,33,Warning
MFG0348,2022,Compliant,0,Low
MFG0473,2021,Compliant,0,Low
MFG0231,2021,Compliant,0,Low
MFG0190,2019,Non-Compliant,33,Warning
MFG0225,2019,Compliant,0,Low
MFG0385,2022,Compliant,0,Low
MFG0377,2022,Compliant,0,Low
MFG0283,2019,Compliant,0,Low
MFG0446,2019,Non-Compliant,33,Warning
MFG0121,2020,Compliant,0,Low
MFG0116,2020,Non-Compliant,33,Warning
MFG0461,2019,Non-Compliant,66,Critical
MFG0233,2020,Non-Compliant,33,Warning
MFG0259,2023,Non-Compliant,33,Warning
MFG0359,2022,Compliant,0,Low
MFG0198,2022,Compliant,0,Low
MFG0456,2019,Compliant,0,Low
MFG0411,2021,Non-Compliant,33,Warning
MFG0137,2019,Compliant,0,Low
MFG0318,2020,Compliant,0,Low
MFG0165,2021,Compliant,0,Low
MFG0225,2020,Compliant,0,Low
MFG0307,2023,Non-Compliant,33,Warning
MFG0234,2020,Non-Compliant,33,Warning
MFG0172,2023,Non-Compliant,33,Warning
MFG0152,2023,Compliant,0,Low
MFG0463,2020,Non-Compliant,33,Warning
MFG0315,2020,Compliant,0,Low
MFG0374,2023,Non-Compliant,33,Warning
MFG0160,2021,Non-Compliant,33,Warning
MFG0096,2023,Non-Compliant,66,Critical
MFG0472,2022,Non-Compliant,33,Warning
MFG0233,2023,Compliant,0,Low
MFG0180,2021,Compliant,0,Low
MFG0113,2022,Non-Compliant,33,Warning
MFG0318,2019,Compliant,0,Low
MFG0497,2019,Compliant,0,Low
MFG0442,2021,Compliant,0,Low
MFG0052,2023,Non-Compliant,33,Warning
MFG0268,2020,Non-Compliant,66,Critical
MFG0295,2021,Non-Compliant,33,Warning
MFG0386,2022,Non-Compliant,33,Warning
MFG0387,2022,Compliant,0,Low
MFG0113,2019,Compliant,0,Low
MFG0101,2022,Compliant,0,Low
MFG0113,2021,Compliant,0,Low
MFG0440,2022,Compliant,0,Low
MFG0081,2021,Compliant,0,Low
MFG0187,2020,Compliant,0,Low
MFG0113,2019,Non-Compliant,33,Warning
MFG0002,2022,Compliant,0,Low
MFG0130,2021,Compliant,0,Low
MFG0220,2023,Non-Compliant,33,Warning
MFG0054,2019,Non-Compliant,33,Warning
MFG0343,2020,Compliant,0,Low
MFG0485,2021,Compliant,0,Low
MFG0224,2020,Non-Compliant,33,Warning
MFG0225,2020,Non-Compliant,33,Warning
MFG0385,2022,Compliant,0,Low
MFG0403,2022,Non-Compliant,66,Critical
MFG0126,2021,Non-Compliant,33,Warning
MFG0130,2023,Non-Compliant,33,Warning
MFG0053,2021,Non-Compliant,33,Warning
MFG0172,2023,Non-Compliant,66,Critical
MFG0218,2020,Compliant,0,Low
MFG0160,2019,Non-Compliant,33,Warning
MFG0198,2021,Non-Compliant,33,Warning
MFG0416,2021,Non-Compliant,33,Warning
MFG0247,2023,Compliant,0,Low
MFG0324,2020,Compliant,0,Low
MFG0439,2020,Non-Compliant,66,Critical
MFG0203,2023,Compliant,0,Low
MFG0184,2020,Non-Compliant,66,Critical
MFG0123,2022,Compliant,0,Low
MFG0401,2019,Non-Compliant,33,Warning
MFG0255,2021,Non-Compliant,33,Warning
MFG0294,2019,Non-Compliant,33,Warning
MFG0280,2021,Non-Compliant,33,Warning
MFG0325,2022,Non-Compliant,33,Warning
MFG0372,2020,Compliant,0,Low
MFG0098,2023,Compliant,0,Low
MFG0198,2022,Non-Compliant,33,Warning
MFG0470,2019,Non-Compliant,66,Critical
MFG0395,2023,Non-Compliant,33,Warning
MFG0240,2020,Non-Compliant,66,Critical
MFG0144,2022,Compliant,0,Low
MFG0097,2023,Non-Compliant,33,Warning
MFG0201,2022,Non-Compliant,33,Warning
MFG0124,2022,Non-Compliant,33,Warning
MFG0187,2020,Non-Compliant,33,Warning
MFG0326,2021,Compliant,0,Low
MFG0464,2023,Compliant,0,Low
MFG0349,2020,Compliant,0,Low
MFG0259,2022,Compliant,0,Low
MFG0148,2020,Compliant,0,Low
MFG0252,2021,Non-Compliant,33,Warning
MFG0443,2023,Compliant,0,Low
MFG0420,2021,Compliant,0,Low
MFG0403,2019,Non-Compliant,33,Warning
MFG0346,2023,Compliant,0,Low
MFG0451,2021,Non-Compliant,33,Warning
MFG0147,2022,Non-Compliant,33,Warning
MFG0148,2023,Compliant,0,Low
MFG0352,2023,Non-Compliant,66,Critical
MFG0199,2020,Compliant,0,Low
MFG0308,2022,Compliant,0,Low
MFG0489,2019,Compliant,0,Low
MFG0417,2021,Non-Compliant,33,Warning
MFG0424,2020,Non-Compliant,33,Warning
MFG0128,2021,Non-Compliant,33,Warning
MFG0039,2019,Compliant,0,Low
MFG0338,2019,Compliant,0,Low
MFG0360,2023,Compliant,0,Low
MFG0129,2019,Non-Compliant,33,Warning
MFG0267,2021,Compliant,0,Low
MFG0476,2022,Non-Compliant,33,Warning
MFG0441,2022,Compliant,0,Low
MFG0473,2023,Compliant,0,Low
MFG0434,2021,Non-Compliant,33,Warning
MFG0151,2021,Compliant,0,Low
MFG0415,2019,Compliant,0,Low
MFG0478,2021,Non-Compliant,33,Warning
MFG0298,2020,Non-Compliant,33,Warning
MFG0099,2019,Non-Compliant,33,Warning
MFG0263,2020,Compliant,0,Low
MFG0252,2023,Compliant,0,Low
MFG0144,2022,Non-Compliant,66,Critical
MFG0346,2023,Non-Compliant,33,Warning
MFG0112,2022,Non-Compliant,33,Warning
MFG0060,2023,Compliant,0,Low
MFG0369,2021,Compliant,0,Low
MFG0002,2020,Non-Compliant,66,Critical
MFG0385,2022,Non-Compliant,33,Warning
MFG0304,2019,Non-Compliant,99,Critical
MFG0254,2020,Compliant,0,Low
MFG0140,2019,Non-Compliant,33,Warning
MFG0453,2020,Compliant,0,Low
MFG0037,2020,Non-Compliant,33,Warning
MFG0160,2023,Compliant,0,Low
MFG0009,2022,Compliant,0,Low
MFG0233,2022,Non-Compliant,33,Warning
MFG0099,2020,Compliant,0,Low
MFG0147,2021,Compliant,0,Low
MFG0304,2021,Non-Compliant,99,Critical
MFG0208,2019,Compliant,0,Low
MFG0131,2019,Non-Compliant,33,Warning
MFG0404,2023,Non-Compliant,33,Warning
MFG0152,2020,Compliant,0,Low
MFG0054,2019,Non-Compliant,33,Warning
MFG0120,2019,Compliant,0,Low
MFG0161,2020,Compliant,0,Low
MFG0408,2023,Compliant,0,Low
MFG0116,2019,Compliant,0,Low
MFG0075,2023,Compliant,0,Low
MFG0113,2022,Non-Compliant,33,Warning
MFG0456,2023,Compliant,0,Low
MFG0420,2021,Compliant,0,Low
MFG0422,2021,Compliant,0,Low
MFG0104,2023,Compliant,0,Low
MFG0340,2021,Non-Compliant,33,Warning
MFG0254,2022,Compliant,0,Low
MFG0227,2020,Compliant,0,Low
MFG0112,2021,Compliant,0,Low
MFG0473,2021,Non-Compliant,33,Warning
MFG0099,2023,Non-Compliant,33,Warning
MFG0153,2022,Non-Compliant,33,Warning
MFG0349,2020,Non-Compliant,33,Warning
MFG0402,2023,Non-Compliant,66,Critical
MFG0384,2023,Compliant,0,Low
MFG0366,2022,Compliant,0,Low
MFG0338,2020,Compliant,0,Low
MFG0194,2022,Compliant,0,Low
MFG0310,2020,Compliant,0,Low
MFG0163,2022,Non-Compliant,33,Warning
MFG0208,2023,Non-Compliant,33,Warning
MFG0445,2023,Non-Compliant,66,Critical
MFG0169,2019,Non-Compliant,33,Warning
MFG0484,2021,Non-Compliant,33,Warning
MFG0161,2022,Compliant,0,Low
MFG0068,2019,Non-Compliant,33,Warning
MFG0289,2021,Non-Compliant,33,Warning
MFG0398,2022,Non-Compliant,33,Warning
MFG0277,2020,Compliant,0,Low
MFG0304,2021,Compliant,0,Low
MFG0404,2023,Compliant,0,Low
MFG0384,2019,Compliant,0,Low
MFG0392,2021,Non-Compliant,33,Warning
MFG0135,2021,Compliant,0,Low
MFG0195,2023,Non-Compliant,66,Critical
MFG0401,2022,Non-Compliant,33,Warning
MFG0128,2020,Non-Compliant,33,Warning
MFG0033,2023,Non-Compliant,33,Warning
MFG0176,2020,Compliant,0,Low
MFG0460,2022,Non-Compliant,33,Warning
MFG0443,2021,Non-Compliant,33,Warning
MFG0371,2020,Non-Compliant,33,Warning
MFG0470,2019,Non-Compliant,33,Warning
MFG0375,2019,Compliant,0,Low
MFG0022,2023,Compliant,0,Low
MFG0238,2022,Non-Compliant,33,Warning
MFG0158,2023,Compliant,0,Low
MFG0038,2023,Compliant,0,Low
MFG0230,2023,Compliant,0,Low
MFG0365,2019,Non-Compliant,33,Warning
MFG0051,2019,Non-Compliant,33,Warning
MFG0438,2023,Compliant,0,Low
MFG0264,2019,Compliant,0,Low
MFG0283,2022,Non-Compliant,33,Warning
MFG0027,2023,Compliant,0,Low
MFG0226,2019,Non-Compliant,33,Warning
MFG0277,2020,Compliant,0,Low
MFG0286,2023,Compliant,0,Low
MFG0097,2023,Compliant,0,Low
MFG0284,2022,Non-Compliant,33,Warning
MFG0367,2021,Compliant,0,Low
MFG0448,2021,Compliant,0,Low
MFG0481,2022,Compliant,0,Low
MFG0453,2022,Non-Compliant,66,Critical
MFG0317,2022,Non-Compliant,33,Warning
MFG0304,2021,Compliant,0,Low
MFG0147,2022,Non-Compliant,66,Critical
MFG0004,2019,Compliant,0,Low
MFG0035,2023,Compliant,0,Low
MFG0192,2023,Compliant,0,Low
MFG0049,2020,Non-Compliant,33,Warning
MFG0017,2020,Compliant,0,Low
MFG0172,2023,Non-Compliant,66,Critical
MFG0220,2019,Non-Compliant,33,Warning
MFG0158,2021,Compliant,0,Low
MFG0477,2021,Compliant,0,Low
MFG0046,2019,Compliant,0,Low
MFG0373,2021,Compliant,0,Low
MFG0006,2022,Compliant,0,Low
MFG0099,2023,Non-Compliant,33,Warning
MFG0380,2023,Non-Compliant,33,Warning
MFG0233,2019,Compliant,0,Low
MFG0037,2021,Non-Compliant,66,Critical
MFG0280,2020,Non-Compliant,33,Warning
MFG0349,2020,Non-Compliant,33,Warning
MFG0497,2021,Compliant,0,Low
MFG0302,2020,Non-Compliant,33,Warning
MFG0181,2019,Compliant,0,Low
MFG0095,2019,Non-Compliant,33,Warning
MFG0099,2021,Compliant,0,Low
MFG0188,2020,Non-Compliant,33,Warning
MFG0481,2019,Non-Compliant,33,Warning
MFG0116,2019,Non-Compliant,33,Warning
MFG0191,2022,Compliant,0,Low
MFG0253,2022,Compliant,0,Low
MFG0469,2019,Compliant,0,Low
MFG0416,2021,Non-Compliant,33,Warning
MFG0471,2023,Compliant,0,Low
MFG0161,2023,Compliant,0,Low
MFG0256,2019,Non-Compliant,33,Warning
MFG0323,2019,Non-Compliant,33,Warning
MFG0128,2019,Non-Compliant,33,Warning
MFG0018,2021,Compliant,0,Low
MFG0281,2022,Compliant,0,Low
MFG0490,2019,Non-Compliant,33,Warning
MFG0223,2019,Compliant,0,Low
MFG0054,2020,Non-Compliant,33,Warning
MFG0058,2021,Non-Compliant,33,Warning
MFG0323,2019,Compliant,0,Low
MFG0360,2020,Non-Compliant,33,Warning
MFG0174,2023,Non-Compliant,33,Warning
MFG0280,2019,Non-Compliant,66,Critical
MFG0114,2019,Non-Compliant,33,Warning
MFG0288,2020,Non-Compliant,33,Warning
MFG0431,2021,Non-Compliant,66,Critical
MFG0342,2019,Compliant,0,Low
MFG0151,2023,Non-Compliant,33,Warning
MFG0450,2019,Compliant,0,Low
MFG0127,2023,Non-Compliant,33,Warning
MFG0155,2022,Non-Compliant,33,Warning
MFG0490,2022,Compliant,0,Low
MFG0386,2023,Compliant,0,Low
MFG0474,2021,Compliant,0,Low
MFG0273,2019,Compliant,0,Low
MFG0104,2019,Non-Compliant,33,Warning
MFG0417,2022,Compliant,0,Low
MFG0393,2023,Compliant,0,Low
MFG0299,2019,Compliant,0,Low
MFG0246,2019,Non-Compliant,33,Warning
MFG0176,2021,Non-Compliant,33,Warning
MFG0039,2020,Non-Compliant,33,Warning
MFG0477,2022,Compliant,0,Low
MFG0170,2022,Non-Compliant,33,Warning
MFG0247,2020,Compliant,0,Low
MFG0026,2019,Non-Compliant,66,Critical
MFG0355,2021,Compliant,0,Low
MFG0306,2021,Compliant,0,Low
MFG0409,2022,Compliant,0,Low
MFG0408,2021,Compliant,0,Low
MFG0013,2020,Non-Compliant,33,Warning
MFG0316,2019,Compliant,0,Low
MFG0391,2020,Compliant,0,Low
MFG0313,2023,Compliant,0,Low
MFG0036,2022,Non-Compliant,33,Warning
MFG0173,2021,Compliant,0,Low
MFG0020,2023,Non-Compliant,33,Warning
MFG0321,2021,Non-Compliant,33,Warning
MFG0264,2019,Non-Compliant,33,Warning
MFG0494,2019,Compliant,0,Low
MFG0400,2019,Non-Compliant,33,Warning
MFG0142,2021,Compliant,0,Low
MFG0460,2023,Compliant,0,Low
MFG0371,2019,Non-Compliant,33,Warning
MFG0471,2023,Compliant,0,Low
MFG0143,2021,Compliant,0,Low
MFG0092,2023,Non-Compliant,33,Warning
MFG0354,2021,Compliant,0,Low
MFG0322,2021,Compliant,0,Low
MFG0288,2022,Compliant,0,Low
MFG0215,2021,Compliant,0,Low
MFG0447,2021,Compliant,0,Low
MFG0342,2020,Compliant,0,Low
MFG0051,2019,Non-Compliant,33,Warning
MFG0153,2022,Non-Compliant,33,Warning
MFG0186,2022,Non-Compliant,33,Warning
MFG0063,2022,Non-Compliant,33,Warning
MFG0190,2020,Compliant,0,Low
MFG0125,2021,Non-Compliant,33,Warning
MFG0150,2019,Non-Compliant,33,Warning
MFG0314,2023,Compliant,0,Low
MFG0058,2021,Non-Compliant,66,Critical
MFG0342,2020,Non-Compliant,33,Warning
MFG0305,2021,Non-Compliant,66,Critical
MFG0180,2021,Compliant,0,Low
MFG0170,2020,Compliant,0,Low
MFG0326,2022,Compliant,0,Low
MFG0271,2022,Compliant,0,Low
MFG0054,2019,Compliant,0,Low
MFG0491,2019,Non-Compliant,33,Warning
MFG0444,2022,Non-Compliant,66,Critical
MFG0101,2023,Compliant,0,Low
MFG0481,2021,Non-Compliant,33,Warning
MFG0264,2023,Non-Compliant,66,Critical
MFG0053,2021,Compliant,0,Low
MFG0060,2022,Non-Compliant,33,Warning
MFG0492,2019,Compliant,0,Low
MFG0108,2019,Compliant,0,Low
MFG0005,2023,Compliant,0,Low
MFG0103,2019,Compliant,0,Low
MFG0196,2022,Non-Compliant,66,Critical
MFG0262,2023,Non-Compliant,33,Warning
MFG0365,2021,Non-Compliant,33,Warning
MFG0480,2019,Compliant,0,Low
MFG0372,2020,Non-Compliant,33,Warning
MFG0350,2019,Non-Compliant,33,Warning
MFG0047,2021,Compliant,0,Low
MFG0355,2023,Compliant,0,Low
MFG0311,2021,Compliant,0,Low
MFG0424,2020,Non-Compliant,33,Warning
MFG0308,2022,Compliant,0,Low
MFG0144,2019,Non-Compliant,66,Critical
MFG0269,2023,Non-Compliant,33,Warning
MFG0370,2022,Non-Compliant,33,Warning
MFG0124,2021,Compliant,0,Low
MFG0106,2023,Compliant,0,Low
MFG0158,2022,Compliant,0,Low
MFG0147,2023,Non-Compliant,33,Warning
MFG0145,2020,Non-Compliant,66,Critical
MFG0120,2020,Compliant,0,Low
MFG0319,2019,Compliant,0,Low
MFG0275,2019,Compliant,0,Low
MFG0092,2020,Compliant,0,Low
MFG0058,2023,Non-Compliant,33,Warning
MFG0439,2020,Compliant,0,Low
MFG0346,2019,Compliant,0,Low
MFG0229,2020,Compliant,0,Low
MFG0474,2020,Compliant,0,Low
MFG0117,2023,Compliant,0,Low
MFG0318,2022,Compliant,0,Low
MFG0279,2019,Non-Compliant,33,Warning
MFG0127,2023,Compliant,0,Low
MFG0393,2020,Non-Compliant,33,Warning
MFG0396,2020,Non-Compliant,33,Warning
MFG0129,2022,Compliant,0,Low
MFG0058,2019,Non-Compliant,33,Warning
MFG0122,2019,Non-Compliant,66,Critical
MFG0001,2021,Compliant,0,Low
MFG0239,2019,Non-Compliant,33,Warning
MFG0290,2022,Non-Compliant,33,Warning
MFG0096,2021,Compliant,0,Low
MFG0126,2021,Non-Compliant,33,Warning
MFG0118,2020,Compliant,0,Low
MFG0048,2020,Non-Compliant,33,Warning
MFG0089,2019,Compliant,0,Low
MFG0488,2021,Compliant,0,Low
MFG0237,2020,Compliant,0,Low
MFG0373,2022,Non-Compliant,33,Warning
MFG0385,2020,Compliant,0,Low
MFG0272,2020,Non-Compliant,33,Warning
MFG0189,2021,Compliant,0,Low
MFG0487,2021,Non-Compliant,66,Critical
MFG0192,2023,Compliant,0,Low
MFG0447,2022,Compliant,0,Low
MFG0069,2021,Compliant,0,Low
MFG0278,2019,Compliant,0,Low
MFG0349,2022,Non-Compliant,33,Warning
MFG0247,2022,Non-Compliant,33,Warning
MFG0451,2021,Non-Compliant,66,Critical
MFG0076,2022,Non-Compliant,33,Warning
MFG0154,2021,Compliant,0,Low
MFG0144,2020,Compliant,0,Low
MFG0435,2023,Compliant,0,Low
MFG0485,2020,Compliant,0,Low
MFG0086,2021,Compliant,0,Low
MFG0185,2021,Compliant,0,Low
MFG0285,2020,Non-Compliant,33,Warning
MFG0462,2019,Non-Compliant,33,Warning
MFG0220,2019,Non-Compliant,33,Warning
MFG0069,2019,Compliant,0,Low
MFG0047,2021,Compliant,0,Low
MFG0497,2022,Compliant,0,Low
MFG0094,2021,Compliant,0,Low
MFG0238,2022,Non-Compliant,33,Warning
MFG0446,2020,Compliant,0,Low
MFG0453,2023,Non-Compliant,33,Warning
MFG0204,2022,Compliant,0,Low
MFG0400,2019,Non-Compliant,33,Warning
MFG0218,2021,Compliant,0,Low
MFG0474,2020,Compliant,0,Low
MFG0432,2019,Non-Compliant,33,Warning
MFG0341,2020,Compliant,0,Low
MFG0039,2023,Non-Compliant,33,Warning
MFG0100,2021,Non-Compliant,66,Critical
MFG0289,2021,Non-Compliant,99,Critical
MFG0254,2023,Non-Compliant,33,Warning
MFG0222,2021,Non-Compliant,33,Warning
MFG0357,2022,Non-Compliant,66,Critical
MFG0023,2020,Compliant,0,Low
MFG0250,2019,Compliant,0,Low
MFG0010,2023,Non-Compliant,33,Warning
MFG0246,2022,Compliant,0,Low
MFG0325,2019,Compliant,0,Low
MFG0100,2019,Compliant,0,Low
MFG0290,2023,Compliant,0,Low
